Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-2.2215285	1.8295811	3.0635593	-4.788384	20.166666	30.592031	118.0	0.0	1000.0	605.0	0.020166666666666666	0.45007578	0.53400916	1.3802624	-1.0931953	0.42541716	0.3432151	1.1557779	-0.3198772	9.918212e-09	-0.01082986	1.6276042e-08	-0.021138046	0.79405874	-0.7222937	49.264763	-27.573822	0.99999994	-0.031314015	1.7661458	0.0	1.837877	0.008796245	30000	47.90858602523804
1	-2.1929853	1.9180114	2.360538	-5.231283	11.866667	26.183626	103.0	0.0	1000.0	961.0	0.016016666666666665	-0.15848307	0.19104005	0.614793	-0.9344068	2.161822	4.7064185	25.22637	-6.709887	-3.1002994e-09	-0.0147189675	0.0	-0.019201702	0.051242847	-0.018811323	42.768856	-26.67022	0.9686859	-0.028584898	1.3857323	0.0	1.8266869	0.008819452	60000	134.96288990974426
2	-1.0554311	0.9992003	0.8472964	-2.894176	19.2	50.08353	221.0	0.0	1000.0	1537.0	0.01707777777777778	-0.13737881	0.21803407	0.72461694	-0.7707976	1.3293495	2.9692752	22.255417	-2.5564582	1.6297863e-08	-0.013069207	3.2552084e-08	-0.017710611	0.043633576	-0.022956856	76.97822	-51.897804	0.940101	-0.027437508	1.4491868	0.0	1.8216004	0.009201878	90000	226.6292552947998
3	-0.70312846	0.738073	0.8096694	-2.6072872	37.666668	85.26521	373.0	0.0	1000.0	2667.0	0.022225	-0.093041144	0.14003494	0.5812817	-0.6786331	1.6182046	4.8252215	37.244263	-0.51657045	3.85116e-08	-0.017060468	6.510417e-08	-0.03326048	0.027809517	-0.012481223	193.73433	-76.96132	0.9126635	-0.005905628	1.1550364	0.0	1.8319402	0.008868354	120000	326.66306734085083
4	-0.5803484	0.7814247	1.2528963	-2.049218	16.066668	34.654415	108.0	0.0	1000.0	3149.0	0.020993333333333333	-0.06503931	0.07457194	0.31539196	-0.4412029	5.002123	6.626984	21.952955	-4.6039286	3.5427227e-08	-0.01521915	6.103516e-08	-0.024910506	0.02709342	-0.011071408	75.1204	-54.19658	0.9067579	-0.01120317	1.3050691	0.0	1.8178189	0.00902612	150000	410.1315767765045
5	-0.15895186	0.91304374	2.354469	-1.8189404	17.666666	57.945564	276.0	0.0	1000.0	3679.0	0.02043888888888889	-0.06568893	0.0725075	0.291821	-0.4950039	0.85338646	2.6594274	26.86331	-1.5207675	-3.567657e-08	-0.013773555	-7.324219e-08	-0.02366303	0.02712869	-0.010760369	85.434685	-53.191048	0.8955547	-0.013997912	1.4056318	0.0	1.8038526	0.008938952	180000	493.1307978630066
6	-0.07850116	0.78393525	2.393679	-1.1649708	55.633335	102.46641	360.0	0.0	1000.0	5348.0	0.025466666666666665	-0.05132695	0.08501124	0.3924948	-0.33111107	3.068184	6.8936696	51.061108	-0.07187353	-1.0385675e-08	-0.025403561	-3.2552084e-08	-0.05065091	0.022402091	-0.00923317	294.90073	-117.978165	0.8815568	0.0046278834	0.7848216	0.0	1.8208277	0.008964126	210000	578.9684653282166
7	0.14567427	0.9053538	2.8727179	-1.476161	53.666668	115.91415	518.0	0.0	1000.0	6958.0	0.028991666666666666	0.01573337	0.13131858	0.60235	-0.3764023	5.2300434	5.692179	55.748257	3.497552	6.1175676e-08	-0.021199457	1.3020833e-07	-0.04061162	0.031283222	-0.017488068	252.0297	-142.38449	0.8861847	0.012064993	0.9543286	0.0	1.8127084	0.008990407	240000	662.2166464328766
8	0.30830345	1.1871506	4.211121	-1.1682031	18.566668	53.91393	269.0	0.0	1000.0	7515.0	0.027833333333333335	0.01217897	0.08616249	0.5884599	-0.28414842	4.613225	11.134208	60.218475	-28.73133	-1.4599777e-08	-0.023890201	-3.2552084e-08	-0.045281965	0.02814233	-0.0120914485	180.39796	-110.87964	0.8982497	0.00875026	0.84769094	0.0	1.8100071	0.008989117	270000	744.7236852645874
9	0.17920685	0.89871943	2.1646163	-1.5456395	89.9	148.43143	647.0	0.0	1000.0	10212.0	0.03404	0.022189382	0.14957105	0.76962984	-0.31933308	2.090968	1.6415974	7.5603747	-2.65939	-8.3018904e-08	-0.020882193	-1.7903646e-07	-0.039603427	0.025330437	-0.010601673	447.82413	-100.17508	0.90699995	0.016355395	0.96336645	0.0	1.8258184	0.008431254	300000	828.3662147521973
