Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-2.2215285	1.8295811	3.0635593	-4.788384	20.166666	30.592031	118.0	0.0	1000.0	605.0	0.020166666666666666	0.45007578	0.53400916	1.3802624	-1.0931953	0.42541716	0.3432151	1.1557779	-0.3198772	3.5603842e-09	-0.0072041536	1.6276042e-08	0.0034287516	0.79405874	-0.7222937	49.264763	-27.573822	0.016498318	0.0	0.002338481	0.019108392	-0.004833334	0.0025105192	-0.0021231114	0.026201136	0.3498282	0.016498318	2.0	0.0	0.0	1.837877	0.008954832	30000	200.66401720046997
1	-2.435767	1.5086082	1.2036837	-5.5954127	38.1	55.92456	230.0	0.0	1000.0	1748.0	0.029133333333333334	-0.21090908	0.17658865	0.55072314	-0.863982	1.9243263	4.7863216	25.008465	-6.644867	-4.0690105e-09	-0.0134780565	1.6276042e-08	-0.0155111	0.0354457	-0.014514506	98.548676	-49.502125	0.3171209	0.0	0.012928247	0.016352244	0.013099998	0.01315568	-0.0032710345	0.047045335	0.88916254	0.3171209	1.0	0.0	0.0	1.8645802	0.009011183	60000	389.2994616031647
2	-0.8774908	1.4264073	3.635127	-4.066684	31.733334	62.931675	295.0	0.0	1000.0	2700.0	0.03	-0.19452746	0.21817152	0.60986644	-0.84212697	4.855204	9.037164	35.775234	-2.782141	-1.525879e-08	-0.015566677	4.0690104e-08	-0.010551701	0.045857634	-0.02268276	107.48938	-58.09678	0.102016225	0.0	0.01283008	0.01936152	0.0067333337	0.012873845	-0.0017628716	0.071008936	0.8140385	0.102016225	1.0	0.0	0.0	1.8846664	0.009377969	90000	574.8477330207825
3	-0.1787932	1.0343257	2.7779717	-1.828147	102.433334	176.9745	722.0	0.0	1000.0	5773.0	0.048108333333333336	-0.04252969	0.23272154	1.0335857	-0.7147902	4.799468	7.4353557	44.65749	-2.100906	-8.138021e-09	0.00056183676	-2.1158854e-07	-0.059027057	0.037135586	-0.019990442	498.5992	-243.18527	0.33216724	0.0	0.008508941	-0.013078023	0.07743333	0.008601172	-0.004088797	0.18126601	0.0	0.33216724	0.0	0.0	0.0	1.8743106	0.00870781	120000	769.3700859546661
4	-0.14258792	1.14305	2.7774038	-2.5206528	31.633333	85.28325	321.0	0.0	1000.0	6722.0	0.04481333333333333	0.016309865	0.1442712	0.68066853	-0.29888162	6.2898617	10.304437	58.50835	-3.8162503	-1.8819174e-08	-0.011803929	-3.2552084e-08	-0.0116687175	0.033462647	-0.009967994	191.55653	-99.27559	0.10183465	0.0	0.0071484377	0.019679474	0.0066333334	0.007874226	-0.009981699	0.1372773	0.6026967	0.10183465	1.0	0.0	0.0	1.8069575	0.00837706	150000	972.5625092983246
5	-0.028816998	0.9487838	2.002921	-1.4868228	66.96667	159.27995	729.0	0.0	1000.0	8731.0	0.04850555555555556	-0.013763638	0.115469806	0.50954133	-0.26582697	2.3800678	5.0042405	34.16442	-2.5121455	-1.6276042e-08	-0.0033279175	-2.2786459e-07	-0.039776858	0.026867282	-0.008368952	363.4412	-158.43999	0.8123741	0.0	0.007710699	0.0021201258	0.041966666	0.007710701	1.2884033e-05	0.098501876	1.9070675	0.8123741	1.0	0.0	0.0	1.7998924	0.009007871	180000	1213.5667250156403
6	0.7570667	1.4119008	4.8827763	-1.5825549	16.166666	34.20144	106.0	0.0	1000.0	9216.0	0.043885714285714285	0.01366524	0.12871955	0.7777783	-0.23013207	6.8847904	9.327036	43.4154	0.042811543	6.1035155e-09	-0.012886089	4.8828124e-08	-0.005472811	0.04288762	-0.018674107	136.9647	-92.2905	0.0	0.0	0.00782789	0.019065863	-0.008833334	0.007949248	0.0031838557	0.083529174	0.6304462	0.0	2.0	0.0	0.0	1.8122063	0.0088159265	210000	1490.895010471344
7	1.3406005	1.4507703	4.779145	-0.6476749	49.366665	112.38519	429.0	0.0	1000.0	10697.0	0.04457083333333333	0.059235685	0.17819361	1.0206023	-0.35462552	1.6381134	1.3581823	5.4288635	-1.542192	1.0172526e-08	-0.009354388	-1.3020833e-07	-0.02770371	0.043631632	-0.020326633	250.24597	-48.96216	0.22958376	0.0	0.006905616	0.01373427	0.024366666	0.007117145	-0.004477089	0.094759	0.7090852	0.22958376	1.0	0.0	0.0	1.8092637	0.009119744	240000	1709.7596838474274
8	1.1765157	1.2729568	3.3525991	-1.123426	41.033333	68.276634	242.0	0.0	1000.0	11928.0	0.04417777777777778	0.08372335	0.22639388	1.021203	-0.28594443	5.1155176	3.2012823	11.764896	-1.4773718	-1.4241537e-08	-0.0105896	6.510417e-08	-0.016318254	0.028454185	-0.009762604	138.93121	-22.388748	0.2967605	0.0	0.009212553	0.016369823	0.016033333	0.0103530595	-0.00898688	0.07081412	0.75018436	0.2967605	1.0	0.0	0.0	1.8028222	0.009325991	270000	1945.1482317447662
9	2.325459	1.9082223	7.764737	-1.2839109	88.2	114.90471	500.0	0.0	1000.0	14574.0	0.04858	0.17775576	0.29157183	1.1720706	-0.32799158	4.0402164	2.1658368	15.958236	-0.25287646	6.1035155e-09	-0.0016415344	3.2552084e-08	-0.04791714	0.047954246	-0.017810004	344.76642	-89.16171	0.4199315	0.0	0.010664542	-0.015217708	0.0632	0.010827056	0.0042932075	0.11341566	0.0	0.4199315	0.0	0.0	0.0	1.7707493	0.008981951	300000	2148.7129979133606
