Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.96008974	2.5280225	8.26455	-1.358737	92.791664	70.515945	276.0	0.0	1000.0	2751.0	0.0917	0.6049227	0.5373384	2.065465	-1.2351602	-0.44286725	0.12046096	0.115281455	-0.7775146	-1.9557774e-08	0.010101505	1.4901161e-08	0.002046432	0.8111155	-0.68489885	153.41133	-98.17505	0	0	1.0	1.837877	0.009340215	30000	17.153717279434204
1	0.6519352	2.3486242	5.7980924	-2.4105427	84.708336	71.31531	242.0	0.0	1000.0	5160.0	0.086	0.16914774	0.41794494	1.5209832	-0.92086065	7.260324	4.1601295	15.951242	-2.8440053	-5.5879354e-09	0.07394479	5.9604645e-08	0.009439427	0.13928503	-0.018927978	50.145065	-11.082672	0	0	1.0	1.8383576	0.12609464	60000	33.49833059310913
2	0.36953795	1.8343211	4.4080496	-1.5953888	86.5	93.88246	318.0	0.0	1000.0	7693.0	0.08547777777777778	0.10110996	0.4288079	1.4107466	-1.0601231	8.162314	5.9845605	22.316496	-3.5856621	-2.7939677e-09	0.0034140414	-4.4703484e-08	0.0025074221	0.10674395	-0.021151423	55.153473	-10.932005	0	0	1.0	1.8391849	0.00754614	90000	50.071059465408325
3	-0.084602125	1.373352	3.2803483	-1.9224485	60.291668	74.250404	281.0	0.0	1000.0	9719.0	0.08099166666666667	0.05884593	0.30475977	1.093624	-0.71193427	8.087257	7.817079	29.271719	-4.8192215	-1.0011718e-08	-0.0005053475	-9.49949e-08	-0.00039529428	0.043158762	-0.0064679077	53.901215	-11.788221	0	0	1.0	1.8399158	0.00084200327	120000	66.87717962265015
4	1.0050107	1.7054352	6.7831078	-0.9512926	78.208336	78.09341	273.0	0.0	1000.0	12122.0	0.08081333333333333	0.080606356	0.3582145	1.0540799	-0.77357686	8.538463	8.066129	35.723454	-2.9163046	3.7252903e-09	-0.0084939115	4.4703484e-08	0.0048012435	0.06794369	-0.012815805	62.09822	-8.326832	0	0	79.0	1.8404188	0.005504539	150000	89.09000396728516
5	3.1795247	2.675038	10.795008	-0.45840645	98.416664	68.17008	310.0	8.0	1000.0	15029.0	0.08349444444444444	0.18225701	0.38337317	1.2964135	-0.6082263	9.756779	6.247889	38.271503	-0.64132375	-5.820766e-09	-0.008655651	-2.9802322e-08	-0.0022707097	0.1269047	-0.02307956	73.842186	-15.644516	0	0	79.0	1.8180726	0.005566447	180000	111.58473753929138
6	2.8981392	1.3491108	6.371393	0.26652285	88.916664	42.48227	196.0	3.0	1000.0	17765.0	0.0845952380952381	0.34893247	0.43815187	1.5998992	-0.56572086	9.930606	5.5270066	40.144474	-2.5909078	3.7252903e-09	-0.008738349	2.9802322e-08	0.0008804125	0.15411608	-0.04160467	57.026535	-6.6976852	0	0	79.0	1.8005645	0.00594726	210000	134.17072582244873
7	4.9987597	2.3924093	9.799429	0.6990958	83.416664	50.6803	184.0	0.0	1000.0	20056.0	0.08356666666666666	0.34822065	0.35121763	1.4963377	-0.44687453	9.461419	6.0989547	38.433212	-4.332043	1.6763806e-08	0.01658937	7.4505806e-08	-0.0031010322	0.15787953	-0.05043502	42.11285	-6.6935663	0	0	2.0	1.7794799	0.021969154	240000	151.4086630344391
8	3.793724	3.2907152	14.026425	-0.9473174	97.083336	61.93136	218.0	0.0	1000.0	22835.0	0.08457407407407408	0.42775398	0.4258261	1.7927895	-0.38236254	8.358164	5.539724	34.128754	-0.26583904	-7.450581e-09	0.008981089	-1.4901161e-08	-0.0013303041	0.11365224	-0.015657565	56.95093	-6.504272	0	0	1.0	1.7791728	0.025442064	270000	168.6741383075714
9	5.422013	2.7844985	12.6037445	0.08329127	99.166664	70.70577	276.0	0.0	1000.0	25764.0	0.08588	0.5211182	0.4556838	1.9852583	-0.554608	9.752334	6.3408985	38.022118	-0.7123129	-1.3038516e-08	-0.0011519911	-9.313226e-09	0.001258855	0.13343091	-0.016489543	59.212357	-8.524761	0	0	1.0	1.7787099	0.0008330585	300000	185.9674096107483
10	4.7078414	2.413923	9.820086	0.792879	86.208336	50.756756	211.0	20.0	1000.0	28395.0	0.08604545454545455	0.5747973	0.44695836	1.9986596	-0.3796959	9.778158	6.3726645	39.464066	0.109664686	-3.7252903e-09	0.0013324803	-1.4901161e-08	-0.0002728165	0.13369733	-0.017535402	49.355335	-7.2797613	0	0	1.0	1.7782736	0.01026168	330000	203.31619000434875
11	3.511034	2.564277	7.6011057	-1.5543127	90.583336	46.40395	156.0	0.0	1000.0	31219.0	0.08671944444444445	0.5611552	0.55289114	2.1541355	-0.53270316	9.246956	7.288399	40.280773	-4.0177474	1.3038516e-08	-0.0005811942	2.9802322e-08	-0.002749132	0.21354923	-0.10063071	47.879333	-11.38446	0	0	1.0	1.7780092	0.002789882	360000	220.85276889801025
12	7.0377007	2.576384	13.367603	2.1530545	95.708336	57.482952	238.0	17.0	1000.0	33945.0	0.08703846153846154	0.5586921	0.40634403	1.7868774	-0.46649325	10.323902	6.0294557	34.37578	-2.2894168	3.7252903e-09	-0.00094271544	-2.6077032e-08	0.0010790427	0.18647456	-0.041522942	45.88453	-5.859832	0	0	1.0	1.7779958	0.0006933384	390000	238.38591980934143
13	6.5329556	2.83908	12.311123	0.63927656	102.291664	41.689808	176.0	0.0	1000.0	36784.0	0.08758095238095238	0.6469478	0.4675627	1.9405811	-0.6368552	9.914173	6.899518	36.95498	-2.2967567	-1.4901161e-08	-0.00093216915	-3.3527613e-08	-0.0012007769	0.16210796	-0.03510501	40.611385	-6.167055	0	0	1.0	1.7780325	0.00050787546	420000	255.8846116065979
