Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.96008974	2.5280225	8.26455	-1.358737	92.791664	70.515945	276.0	0.0	1000.0	2751.0	0.0917	0.6049227	0.5373384	2.065465	-1.2351602	-0.44286725	0.12046096	0.115281455	-0.7775146	-1.9557774e-08	-0.008139473	1.4901161e-08	0.0017248669	0.8111155	-0.68489885	153.41133	-98.17505	0	0	2.4293208	0.0	1.837877	0.008372956	30000	19.87937641143799
1	0.67089313	2.684509	6.1901793	-2.5664623	66.583336	53.48981	156.0	0.0	1000.0	4671.0	0.07785	0.14119531	0.39514452	1.388222	-0.9613476	6.7222733	4.0464034	15.519524	-2.7460012	-3.7252903e-09	-0.009575238	2.9802322e-08	0.0025952049	0.12159323	-0.019450476	38.27082	-8.214718	0	0	2.1129675	0.0	1.8544153	0.009220938	60000	39.30789566040039
2	2.0395052	2.312558	6.8105555	-2.2981067	87.875	66.281166	205.0	0.0	1000.0	7522.0	0.08357777777777778	0.2311063	0.5084007	1.7287164	-0.980194	8.076646	5.472482	20.706295	-4.2346	-1.8626451e-09	-0.0109592145	-5.9604645e-08	0.00044140592	0.15067267	-0.028384823	50.777367	-9.210167	0	0	1.8794187	0.0	1.8531544	0.009263771	90000	59.113911867141724
3	3.1521711	3.7554836	12.536939	-2.1567621	76.708336	40.91605	177.0	0.0	1000.0	10071.0	0.083925	0.277691	0.47247463	1.6892532	-0.89352554	10.105005	6.4569116	27.864613	-2.0952733	-9.313226e-10	-0.010233881	1.4901161e-08	0.005007121	0.19185932	-0.023365341	42.419846	-7.635545	0	0	1.9259005	0.0	1.8604512	0.009057101	120000	78.86849308013916
4	4.1122494	2.6426067	9.197287	-1.0221201	102.291664	50.437653	190.0	10.0	1000.0	13172.0	0.08781333333333333	0.4106506	0.5408108	2.0530949	-0.8893066	10.495757	5.02649	26.732225	-1.090023	-9.313226e-10	-0.011292597	7.450581e-09	0.0020517842	0.17115766	-0.018766273	43.005424	-4.756932	0	0	1.8574727	0.0	1.8299961	0.009764353	150000	98.63144969940186
5	6.9431624	3.3214097	16.082504	2.167789	111.25	44.728115	212.0	33.0	1000.0	16513.0	0.09173888888888888	0.5654774	0.5155979	1.8538251	-0.7823518	11.101611	4.972463	28.149157	-2.5789769	0.0	-0.012355514	5.9604645e-08	-0.011280743	0.2625733	-0.039713956	44.19971	-4.460292	0	0	1.7049415	0.0	1.8211783	0.009470964	180000	118.36847949028015
6	8.194713	3.1816647	16.466354	3.1294777	100.416664	28.966816	165.0	51.0	1000.0	19502.0	0.09286666666666667	0.72408414	0.5205107	1.9167339	-0.689222	11.181132	5.0082226	30.12587	1.7309673	-1.4901161e-08	-0.011381676	4.4703484e-08	-0.0038558256	0.21526699	-0.037079174	37.934868	-4.034711	0	0	1.8003238	0.0	1.8346404	0.00966583	210000	138.3711130619049
7	10.427606	3.9242136	17.431631	2.1101465	82.166664	32.119133	149.0	24.0	1000.0	21939.0	0.0914125	0.90421355	0.552978	2.17999	-0.68675965	9.61448	4.8100405	27.397276	-0.5891297	-1.1175871e-08	-0.009839324	-4.0978193e-08	-0.0010394868	0.2368648	-0.04262848	32.722534	-4.101441	0	0	2.0192702	0.0	1.8043532	0.009644497	240000	158.46753859519958
8	10.351161	3.9948654	18.74289	4.437092	89.166664	40.696712	180.0	22.0	1000.0	24550.0	0.09092592592592592	1.063541	0.60526425	2.37165	-0.5633983	8.523242	4.67507	26.278728	-1.282841	0.0	-0.009804824	-2.2351742e-08	-0.00094663724	0.21063612	-0.027433965	39.92986	-3.4660454	0	0	2.0579677	0.0	1.7499216	0.009764625	270000	178.76411199569702
9	11.873549	3.3206165	18.18659	5.4700336	86.041664	29.89632	162.0	20.0	1000.0	27094.0	0.09031333333333333	1.1168003	0.575935	2.5042984	-0.59702176	9.117854	5.015545	31.456373	0.28690302	3.7252903e-09	-0.008262107	-4.8428774e-08	-0.0052212276	0.1985207	-0.027500745	34.015057	-4.4420495	0	0	2.354429	0.0	1.7317809	0.009123769	300000	199.2836298942566
