Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.0018947273	2.0807118	3.5245018	-1.8734112	25.25	24.893524	63.0	0.0	1000.0	101.0	0.02525	0.20563486	0.39242283	0.9020621	-1.1296605	0.9549232	0.39834896	1.7159647	0.0027871942	-4.053116e-09	-0.022650855	-2.8371812e-08	-0.0123865	0.390224	-0.35283804	27.682093	-9.641245	0	0	79.0	1.837877	0.008431818	4000	6.586455583572388
1	0.3986021	1.2351805	2.453244	-0.6576694	82.0	35.630043	115.0	30.0	1000.0	429.0	0.053625	0.17984886	0.55153733	1.4348155	-1.1366066	3.36615	1.9044166	8.125989	-2.0272803	1.180172e-08	-0.030408215	1.2093783e-07	-0.0037344005	0.12935932	-0.10036891	97.00441	-44.446358	0	0	69.0	1.827883	0.011894733	8000	12.334885120391846
2	3.1119382	2.6698225	6.50222	0.031935383	100.5	55.002274	192.0	57.0	1000.0	831.0	0.06925	0.20027287	0.35130614	1.0662818	-0.7249758	8.687742	4.1609077	16.437363	-2.813052	2.193451e-08	-0.029515712	3.516674e-08	-0.0035669678	0.119641826	-0.0757703	127.32408	-39.782005	0	0	79.0	1.8320076	0.011211594	12000	17.459239959716797
3	3.1571405	2.157887	5.520868	-0.30679727	46.5	24.844517	89.0	27.0	1000.0	1017.0	0.0635625	0.30405557	0.5270638	1.3875794	-0.8466868	8.269616	7.2925296	19.337936	-10.630602	-1.07288365e-08	-0.028946938	-4.649162e-08	-0.0015968635	0.107068494	-0.048229948	104.8286	-56.362576	0	0	79.0	1.7999442	0.009266573	16000	22.53596329689026
4	1.747292	2.180332	4.7753606	-0.7701186	52.5	55.3963	130.0	0.0	1000.0	1227.0	0.06135	0.22326498	0.423534	1.2762531	-0.8108782	6.4850154	3.9698608	16.732767	-2.4627836	-1.3828277e-08	-0.028807512	7.152557e-09	-0.0137609495	0.0903826	-0.059685387	122.052345	-49.664032	0	0	79.0	1.7608461	0.00945557	20000	27.66155767440796
5	3.0859365	3.4342027	8.15113	-0.9358438	141.75	46.229725	194.0	76.0	1000.0	1794.0	0.07475	0.3587262	0.5492307	1.7953765	-0.9073446	5.3308573	6.7791815	21.158173	-5.4388494	-8.8214875e-09	-0.033305846	6.008148e-08	0.0020163374	0.062145755	-0.033731658	213.14474	-118.46695	0	0	79.0	1.7400839	0.010937778	24000	32.8733868598938
6	4.578258	1.9321258	7.4260674	2.1922934	121.25	53.0112	195.0	59.0	1000.0	2279.0	0.08139285714285714	0.379957	0.47321442	1.587916	-0.74775827	11.400794	5.547711	21.111382	-0.2432052	1.9073487e-09	-0.030798895	4.9114227e-08	-0.027958652	0.08058606	-0.052407548	138.23032	-47.415985	0	0	74.0	1.7145853	0.0119384155	28000	37.991185665130615
7	7.8789926	2.3026216	10.591144	4.304914	57.5	38.926212	103.0	0.0	1000.0	2509.0	0.07840625	0.754882	0.3937321	1.5298223	-0.40309864	10.924195	6.432141	25.662817	1.0183367	-6.556511e-10	-0.030988395	-1.11460686e-07	-0.0130693745	0.15398501	-0.108550236	93.957054	-50.598927	0	0	74.0	1.677564	0.011985484	32000	43.408201694488525
8	9.012994	0.9936394	9.725052	7.3010397	80.25	35.90526	120.0	42.0	1000.0	2830.0	0.07861111111111112	0.94738096	0.42262217	2.0336206	-0.09829274	6.627579	3.7936134	24.528004	1.4757388	-3.218651e-09	-0.034942076	1.5735626e-08	0.0023630217	0.20361468	-0.13502114	69.69919	-29.748962	0	0	79.0	1.6257899	0.011790896	36000	49.16632652282715
9	6.4928007	2.7223625	9.125904	1.9300593	66.75	49.97687	134.0	0.0	1000.0	3097.0	0.077425	0.93499136	0.48775873	2.237822	-0.5842179	8.023803	5.318484	25.619184	-2.841127	2.0980835e-08	-0.032393973	1.3875962e-07	0.006004769	0.27072823	-0.19263324	109.55889	-57.30215	0	0	76.0	1.581232	0.011917808	40000	55.3336124420166
10	10.063821	2.5960054	13.795274	7.6215196	43.25	16.452583	64.0	18.0	1000.0	3270.0	0.07431818181818182	0.89294106	0.41699037	1.9682027	-0.43361157	7.0945077	7.7510557	29.754673	0.028843954	-1.990795e-08	-0.03344125	-7.724762e-08	-0.0131030055	0.15912096	-0.11457342	58.099762	-39.69841	0	0	79.0	1.581805	0.011989268	44000	61.858041524887085
11	8.013004	3.9554422	10.6963625	1.2046394	120.0	11.937336	139.0	108.0	1000.0	3750.0	0.078125	1.0100609	0.41321582	1.9868723	-0.017066546	5.379564	3.9187796	26.78921	-1.7467425	4.6491624e-09	-0.032826222	4.4107438e-08	-0.014153632	0.19792743	-0.13592592	132.6597	-71.23172	0	0	77.0	1.5194858	0.0117912935	48000	67.6460587978363
12	6.566651	4.456137	10.1244955	-1.0154958	75.0	39.312847	114.0	10.0	1000.0	4050.0	0.07788461538461539	0.82351863	0.6827927	2.1429365	-0.840232	11.954671	5.202855	27.48221	3.9111786	2.0682812e-08	-0.03080308	6.377697e-08	-0.036238734	0.14406714	-0.09238905	71.71358	-38.15711	0	0	55.0	1.4947433	0.012226745	52000	72.70584416389465
13	10.474408	2.1041253	12.370768	7.0064445	133.5	41.094402	193.0	77.0	1000.0	4584.0	0.08185714285714285	0.9550839	0.5914146	2.1413805	-0.7507353	8.055413	4.511364	24.53691	0.31960553	-2.6226044e-09	-0.03470901	2.2411346e-07	0.017163556	0.12775373	-0.0848827	179.99287	-90.43178	0	0	77.0	1.4639077	0.01184475	56000	79.06124925613403
14	10.429462	3.137252	13.529879	5.3552766	55.75	11.366068	74.0	44.0	1000.0	4807.0	0.08011666666666667	1.1128088	0.49406838	1.9296819	-0.26414403	11.508031	7.2171454	31.755604	-1.1624671	3.904104e-09	-0.0060883593	-2.6702882e-08	-0.00023176194	0.09030227	-0.04056551	68.00891	-41.596916	0	0	2.0	1.4579953	0.008237576	60000	84.2159423828125
15	11.379612	0.54244155	12.055303	10.749964	76.0	18.533752	101.0	49.0	1000.0	5111.0	0.079859375	1.2101897	0.4698426	2.6436074	-0.17434205	7.449713	5.5307727	28.956324	-3.6636195	-6.437302e-09	-0.034000345	-3.1471252e-08	0.006166445	0.09174986	-0.059417147	38.42665	-13.174049	0	0	75.0	1.4563515	0.01220636	64000	89.50261664390564
16	11.0976	1.0888693	12.164917	9.614063	59.5	45.345894	124.0	0.0	1000.0	5349.0	0.07866176470588235	1.232666	0.5827718	2.3040524	-0.5603198	6.7560196	4.999855	26.79064	-4.4110622	3.0994416e-09	-0.033806782	-6.270409e-08	-0.012544862	0.1435057	-0.10336671	48.891945	-15.901081	0	0	78.0	1.4298396	0.012285585	68000	95.0690016746521
17	12.352868	2.4790545	15.222125	8.547593	94.25	35.75874	123.0	34.0	1000.0	5726.0	0.07952777777777778	1.2672933	0.41461512	2.0217183	-0.31711283	5.395082	4.7976646	26.571583	-1.9387119	-1.2993812e-08	-0.02938508	3.528595e-08	-0.019604921	0.17551373	-0.117670804	76.040825	-41.605377	0	0	65.0	1.393539	0.011677643	72000	100.54390549659729
18	13.484616	2.939591	16.39655	8.633481	59.25	30.638008	106.0	23.0	1000.0	5963.0	0.07846052631578948	1.3152407	0.49215057	2.1945338	-0.87402546	8.512102	5.760686	31.953867	0.1620599	1.1920929e-09	-0.029946199	-3.051758e-08	-0.014699987	0.15558016	-0.09063835	45.654804	-19.5103	0	0	51.0	1.3560143	0.011806511	76000	106.31926655769348
19	12.339963	0.977444	13.85157	11.341351	44.5	16.194136	70.0	26.0	1000.0	6141.0	0.0767625	1.3607496	0.5254266	2.4229279	-0.4835106	5.5014777	3.3770068	24.537193	1.2385201	-2.348423e-08	-0.03057255	-3.3378602e-09	-0.005680995	0.123656064	-0.07863274	31.768663	-8.559263	0	0	47.0	1.3096169	0.011755896	80000	111.91008234024048
20	14.707208	2.6980212	17.244486	10.199763	73.25	34.622066	113.0	28.0	1000.0	6434.0	0.07659523809523809	1.4125943	0.36953965	2.1632068	0.06532704	5.7890034	3.7128806	26.588717	1.459344	3.004074e-08	-0.029166965	1.7166137e-08	-0.007731268	0.13632351	-0.0711349	48.2575	-19.099491	0	0	43.0	1.2769907	0.011355997	84000	117.06860375404358
21	12.339544	2.580492	14.867514	8.867649	82.75	21.992897	113.0	58.0	1000.0	6765.0	0.076875	1.2671118	0.4388233	2.2376974	-0.2301981	7.0231895	3.8378892	29.488255	1.7321606	6.7353247e-09	-0.0062372857	-2.6226044e-08	-0.010586361	0.15266027	-0.11086348	33.82589	-8.117752	0	0	2.0	1.2515469	0.0056942264	88000	122.08746528625488
