Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0018947273	2.0807118	3.5245018	-1.8734112	25.25	24.893524	63.0	0.0	1000.0	101.0	0.02525	0.20563486	0.39242283	0.9020621	-1.1296605	0.9549232	0.39834896	1.7159647	0.0027871942	-4.053116e-09	-0.018783176	-2.8371812e-08	-0.0061861333	0.390224	-0.35283804	27.682093	-9.641245	0	0	0.9541183	0.0	1.837877	0.007771051	4000	5.540165185928345
1	0.91767526	1.9845824	3.9864507	-1.2722663	101.25	75.091194	214.0	25.0	1000.0	506.0	0.06325	0.13030814	0.5003245	1.4733046	-1.1776518	2.9716544	2.254873	8.2686405	-2.2648776	-2.8371812e-08	-0.022104133	-1.9550324e-08	-9.099293e-05	0.15298729	-0.08680673	186.30054	-94.01373	0	0	0.8642513	0.0	1.8382441	0.008271874	8000	10.491790533065796
2	1.3550098	1.1758265	2.6730437	-0.4269997	126.5	32.791004	170.0	79.0	1000.0	1012.0	0.08433333333333333	0.17965455	0.48988682	1.3918717	-1.046656	13.703063	3.572646	18.583382	1.3716567	-1.37090685e-08	-0.022969214	2.2053719e-07	-0.0009386361	0.07035027	-0.05234377	126.0147	-47.167564	0	0	0.9037535	0.0	1.855651	0.00938562	12000	15.418302774429321
3	1.3140719	1.9569534	4.3872604	-0.600638	74.75	77.41891	178.0	0.0	1000.0	1311.0	0.0819375	0.14450519	0.35116172	0.90728974	-0.7957629	10.3871155	4.7318497	20.090101	-1.5826513	-8.106232e-09	-0.022316799	8.2492825e-08	0.0011916966	0.06532476	-0.029410746	164.30185	-48.390587	0	0	0.90279734	0.0	1.8882675	0.009334975	16000	20.364567041397095
4	1.2802899	1.443096	3.0556974	-0.20153041	108.5	50.894497	188.0	55.0	1000.0	1745.0	0.08725	0.14611135	0.3892595	1.0548207	-0.7220833	7.434202	5.8428574	23.849731	-2.689842	8.9406965e-10	-0.022798443	3.7670137e-08	-0.050253622	0.06483425	-0.035235878	273.36588	-129.14534	0	0	0.8611472	0.0	1.8877667	0.008320296	20000	25.296780824661255
5	0.3756873	0.60495853	0.90145487	-0.6237356	192.5	30.647186	240.0	165.0	1000.0	2515.0	0.10479166666666667	-0.02321927	0.3925258	1.2586553	-0.75338954	13.060653	7.5517426	25.555727	-0.8115565	7.152557e-09	-0.024197854	-3.9100648e-08	0.021368872	0.06547523	-0.038342744	276.2501	-102.40874	0	0	0.85638314	0.0	1.8977408	0.009334079	24000	30.223996877670288
6	1.4191191	1.3326051	3.5315764	-0.07283162	120.0	79.05061	251.0	41.0	1000.0	2995.0	0.10696428571428572	0.113418885	0.417757	1.0860165	-0.8017795	16.963453	9.172399	29.503473	1.1277775	-4.9471853e-09	-0.022865556	-1.2111664e-07	-0.022055253	0.087267466	-0.06313717	194.22958	-86.7403	0	0	0.8491867	0.0	1.91943	0.008975082	28000	35.178927183151245
7	3.193784	1.0983102	4.477636	1.7146423	97.0	33.637775	131.0	49.0	1000.0	3383.0	0.10571875	0.1865539	0.30049852	0.9526179	-0.629242	13.714016	10.078518	33.76979	-1.3329163	1.9669534e-08	-0.019277256	5.4836274e-08	-0.0063954694	0.113209136	-0.05835735	147.64241	-77.84659	0	0	0.8622018	1.0	1.8723553	0.0063404543	32000	40.093523025512695
8	3.7728667	2.4407208	6.587011	-0.0026473412	67.5	51.85798	145.0	0.0	1000.0	3653.0	0.10147222222222223	0.53088284	0.45090657	1.7025521	-0.65922254	12.590448	9.165407	35.479153	1.0297308	1.6689301e-09	-0.02271894	1.1301041e-07	-0.018763706	0.24631253	-0.20161463	147.83528	-95.85955	0	0	0.72216606	1.0	1.8655218	0.0063100974	36000	45.1078360080719
9	4.9244885	2.5311596	8.821659	2.1067183	68.5	48.736538	123.0	0.0	1000.0	3927.0	0.098175	0.3672236	0.44751891	1.5663191	-0.7904292	7.914956	6.375017	34.79562	-0.7284816	-1.2397766e-08	-0.023632148	9.441376e-08	0.017947355	0.12826817	-0.09757236	118.97731	-38.858696	0	0	0.82062733	0.0	1.8524299	0.008265923	40000	50.08672094345093
