Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.9733516	1.701056	3.0635593	-5.956682	18.642857	38.707893	150.0	0.0	1000.0	592.0	0.019733333333333332	0.45667833	0.5302711	1.347807	-1.1180108	0.41678426	0.34854588	1.1719352	-0.32874566	-9.313226e-09	0.007675605	-4.0978193e-08	-0.011193059	0.7391312	-0.6788033	62.407143	-26.86342	0.99999994	-0.031169891	1.0	1.837877	0.040829256	30000	26.587756872177124
1	-1.868245	1.2924279	0.9779717	-3.7668543	9.142858	19.84532	64.0	0.0	1000.0	848.0	0.014133333333333333	-0.18872859	0.13374181	0.41378117	-0.6257888	1.5154128	3.880498	19.242771	-4.020837	0.0	0.024356054	2.9802322e-08	-0.0021176166	0.039720487	-0.015321187	29.902172	-15.002662	0.96883005	-0.028684258	1.0	1.8383446	0.08851007	60000	52.53889274597168
2	-0.75717056	1.0954193	2.469954	-2.4768791	36.32143	67.73323	253.0	0.0	1000.0	1912.0	0.021244444444444444	-0.12295983	0.17798482	0.64754623	-0.6553549	1.1058605	1.7285326	6.075578	-2.1714356	4.0978193e-08	-0.014942236	7.8231096e-08	-0.028396897	0.04794467	-0.024859415	125.72455	-25.891083	0.9401458	-0.0065979958	16.0	1.8388288	0.013361948	90000	81.06415438652039
3	-0.7944803	1.1914872	1.5737648	-3.0026975	66.07143	96.24038	307.0	0.0	1000.0	3794.0	0.03161666666666667	-0.06978342	0.0865208	0.28941196	-0.39017293	3.9681125	5.0785108	23.650866	-2.284282	8.195639e-08	-0.0038728863	1.7881393e-07	-0.017222516	0.038127244	-0.01541792	255.95113	-114.98459	0.9335478	0.013228238	2.0	1.839472	0.019270977	120000	108.83676171302795
4	-0.6246127	1.061094	1.9340353	-2.5275311	18.928572	46.638374	178.0	0.0	1000.0	4324.0	0.028826666666666667	-0.093175486	0.088091746	0.24010596	-0.51099	6.0771837	9.092536	38.824764	-2.1157906	0.0	-0.012532586	0.0	-0.031283528	0.03164968	-0.0077155703	152.08481	-88.713234	0.94677603	0.009304643	7.0	1.8395543	0.015530132	150000	136.95842266082764
5	0.124422595	1.1984991	2.7083948	-2.6120431	46.07143	66.36475	186.0	0.0	1000.0	5614.0	0.031188888888888888	-0.048957568	0.10251824	0.34317866	-0.3951928	1.8238393	1.2412758	4.9680867	-1.0981514	2.2351742e-08	-0.010763171	7.4505806e-08	-0.023753833	0.04723657	-0.021372603	152.49573	-51.52305	0.9560807	0.014380455	10.0	1.8400601	0.010787784	180000	165.50695896148682
6	0.26958087	1.0276204	2.5940762	-1.5430338	81.85714	127.230865	442.0	0.0	1000.0	8080.0	0.038476190476190476	0.026706547	0.11422232	0.496796	-0.29448634	6.724117	6.3279047	22.345415	-2.3816257	-7.450581e-09	-0.0062020645	-2.9802322e-08	-0.03824949	0.036536887	-0.0102041885	338.69482	-128.09166	0.97046113	0.019977689	1.0	1.8412611	0.041305304	210000	193.2059977054596
7	0.045026336	0.9325343	1.6542704	-2.0347092	63.535713	122.5883	569.0	0.0	1000.0	9887.0	0.041195833333333334	0.0018817377	0.09397712	0.6018383	-0.22151029	10.095708	11.647416	39.31804	-1.0837246	-7.450581e-09	-0.006736085	-4.4703484e-08	-0.0209173	0.035183117	-0.015727982	453.10104	-263.66324	0.9904388	0.023088217	2.0	1.8413256	0.02058803	240000	221.0375964641571
8	0.70731354	1.1057756	3.4646332	-1.209968	90.53571	122.56149	427.0	0.0	1000.0	12805.0	0.04742592592592593	0.07611157	0.20890695	0.951894	-0.41994533	6.8555665	6.665809	23.833088	-2.6938543	-1.4901161e-08	-0.005291544	-2.9802322e-08	-0.024951316	0.046443053	-0.026462272	392.1069	-78.93416	1.013527	0.026092649	2.0	1.8411739	0.025311762	270000	248.92888498306274
9	0.6287652	1.2547209	3.2565148	-2.0868835	55.607143	80.057274	286.0	0.0	1000.0	14643.0	0.04881	0.069981985	0.12238551	0.6855814	-0.31308952	8.994332	3.3840485	26.002611	7.6524696	-1.4901161e-08	-0.005078759	-2.9802322e-08	-0.024514012	0.042377576	-0.022796337	246.22842	-59.679718	1.0396197	0.027081132	2.0	1.8412263	0.032634933	300000	276.76477336883545
